title,pubDate,guid,link,description
Trump’s Shadow Looms Over Fading Iran Nuclear Talks,"Sat, 18 Jun 2022 09:00:14 +0000",https://www.nytimes.com/2022/06/18/us/politics/iran-nuclear-deal-trump.html,https://www.nytimes.com/2022/06/18/us/politics/iran-nuclear-deal-trump.html,"With no compromise in sight and Iran making steady progress toward nuclear capability, the Biden administration could soon face a stark choice."
‘Late Show’ Producers Arrested at U.S. Capitol While Filming,"Sat, 18 Jun 2022 06:35:10 +0000",https://www.nytimes.com/2022/06/17/us/stephen-colbert-crew-arrested.html,https://www.nytimes.com/2022/06/17/us/stephen-colbert-crew-arrested.html,The production team members had been recording interviews at the Capitol building for a comedy segment on “The Late Show With Stephen Colbert.” They were charged with unlawful entry.
"Paolo Macchiarini, Star Surgeon, Loses Court Ruling in Sweden","Fri, 17 Jun 2022 15:39:53 +0000",https://www.nytimes.com/2022/06/17/world/europe/macchiarini-windpipe-surgeon-deaths.html,https://www.nytimes.com/2022/06/17/world/europe/macchiarini-windpipe-surgeon-deaths.html,"Dr. Paolo Macchiarini became a star by creating a “bioartificial” windpipe. But it did not work, and a court in Sweden has found him criminally liable for the harm inflicted on a patient."
Declaring Curry and Samosas Enemy No. 1 to Whip the Police Into Shape,"Sat, 18 Jun 2022 09:16:16 +0000",https://www.nytimes.com/2022/06/18/world/asia/india-andaman-police-weight-loss.html,https://www.nytimes.com/2022/06/18/world/asia/india-andaman-police-weight-loss.html,"The police chief in an Indian island territory had a theory: If the boss was watching his officers’ weight, they would too."
Is There a Tampon Shortage? What You Need to Know,"Mon, 13 Jun 2022 21:02:57 +0000",https://www.nytimes.com/2022/06/13/well/live/tampon-shortage.html,https://www.nytimes.com/2022/06/13/well/live/tampon-shortage.html,"Supply chain issues have hit tampons, and inflation has driven up prices. Here’s why there’s a shortage — and what you can do if you run out."
Father’s Day Can Be Hard. Here’s How to Handle the Holiday.,"Fri, 17 Jun 2022 15:33:37 +0000",https://www.nytimes.com/2022/06/17/well/fathers-day-grief-coping.html,https://www.nytimes.com/2022/06/17/well/fathers-day-grief-coping.html,"For people grieving a loss or facing thoughts “about what could have been or what may never be,” there are ways to find solace."
How Therapy Dogs Can Help Kids With Stress Relief,"Wed, 15 Jun 2022 18:39:33 +0000",https://www.nytimes.com/2022/06/15/well/family/therapy-dogs-kids-stress.html,https://www.nytimes.com/2022/06/15/well/family/therapy-dogs-kids-stress.html,A new study suggests that spending time with therapy dogs may help lower children’s stress levels even more than relaxation exercises.
You Can Get Covid Again. Here’s What to Know About Reinfection. ,"Sat, 11 Jun 2022 09:00:10 +0000",https://www.nytimes.com/2022/06/11/well/live/covid-reinfection.html,https://www.nytimes.com/2022/06/11/well/live/covid-reinfection.html,"Some reinfection questions, answered."
"Cooper Raiff, Arriving Early to the Party","Fri, 17 Jun 2022 14:00:08 +0000",https://www.nytimes.com/2022/06/17/movies/cooper-raiff-cha-cha-real-smooth.html,https://www.nytimes.com/2022/06/17/movies/cooper-raiff-cha-cha-real-smooth.html,"At 25, the indie writer, director and actor is making waves in Hollywood. His second feature, “Cha Cha Real Smooth,” could start a new career chapter."
Gun Sellers Stoke Fears to Boost Weapon Sales,"Sat, 18 Jun 2022 15:49:10 +0000",https://www.nytimes.com/2022/06/18/us/firearm-gun-sales.html,https://www.nytimes.com/2022/06/18/us/firearm-gun-sales.html,"The number of firearms in the U.S. is outpacing the country’s population, as an emboldened gun industry and its allies target buyers with rhetoric of fear, machismo and defiance."
Odesa Opera House Reopens Amid Putin’s War,"Sat, 18 Jun 2022 16:23:30 +0000",https://www.nytimes.com/2022/06/18/world/europe/odesa-opera-ukraine-russia.html,https://www.nytimes.com/2022/06/18/world/europe/odesa-opera-ukraine-russia.html,"War is not far away, but a city that has always lived for the moment proclaims that culture will help Ukraine prevail."
Zelensky Visits War-Torn Mykolaiv in Southern Ukraine,"Sat, 18 Jun 2022 15:32:45 +0000",https://www.nytimes.com/2022/06/18/world/europe/zelensky-mykolaiv-ukraine.html,https://www.nytimes.com/2022/06/18/world/europe/zelensky-mykolaiv-ukraine.html,The president’s trip aimed to highlight Ukraine’s grip on the area and to lift the spirits of an embattled populace.
Jan. 6 Hearings Underscore Hard Truths About Democracy,"Sat, 18 Jun 2022 13:50:15 +0000",https://www.nytimes.com/2022/06/18/world/americas/jan-6-hearing-constitution-democracy.html,https://www.nytimes.com/2022/06/18/world/americas/jan-6-hearing-constitution-democracy.html,"When political leaders face a constitutional crisis, like that of Jan. 6, the process of collectively deciding how to respond can be messy, arbitrary, and sometimes change the nature of the system itself."
How Many N.Y. Democrats Does It Take to Fill a House Seat? Try 15.,"Sat, 18 Jun 2022 17:11:13 +0000",https://www.nytimes.com/2022/06/18/nyregion/de-blasio-mondaire-jones-house-race.html,https://www.nytimes.com/2022/06/18/nyregion/de-blasio-mondaire-jones-house-race.html,"A congressman, an ex-congresswoman, an ex-mayor, a Trump prosecutor and several state and city officials are eyeing an open congressional seat in New York City."
"Bitcoin Plummets Below $20,000 for First Time Since Late 2020","Sat, 18 Jun 2022 14:39:26 +0000",https://www.nytimes.com/2022/06/18/technology/bitcoin-20000.html,https://www.nytimes.com/2022/06/18/technology/bitcoin-20000.html,Its fall was accelerated in recent weeks by the collapse of two major cryptocurrency projects while sowing doubts about the stability of the overall cryptocurrency market.
2022 Cheesemonger Invitational Crowns New Champion,"Fri, 17 Jun 2022 19:35:25 +0000",https://www.nytimes.com/2022/06/17/dining/cheesemonger-invitational-champion.html,https://www.nytimes.com/2022/06/17/dining/cheesemonger-invitational-champion.html,"At the Cheesemongers Invitational, the competition is fierce, but the feeling of cheese community is strong."
"On Inflation and the Food Crisis, the World Can Work Together or Fall Apart","Sat, 18 Jun 2022 12:24:50 +0000",https://www.nytimes.com/2022/06/18/opinion/inflation-global-food-shortage-ukraine.html,https://www.nytimes.com/2022/06/18/opinion/inflation-global-food-shortage-ukraine.html,No single country can solve the problem of rising food and fuel costs.
"Hence, Mike Pence","Sat, 18 Jun 2022 12:08:47 +0000",https://www.nytimes.com/2022/06/18/opinion/mike-pence-trump-jan-6.html,https://www.nytimes.com/2022/06/18/opinion/mike-pence-trump-jan-6.html,"Trump set a fire with lies, then doused Mike Pence in gasoline."
Mike Pence and the Soft Bigotry of Low Expectations,"Sat, 18 Jun 2022 13:18:02 +0000",https://www.nytimes.com/2022/06/18/opinion/mike-pence-january-6-trump.html,https://www.nytimes.com/2022/06/18/opinion/mike-pence-january-6-trump.html,How much credit should he get for doing the bare minimum?
Spring Now Comes With a Secret Dread,"Sat, 18 Jun 2022 15:00:08 +0000",https://www.nytimes.com/2022/06/18/opinion/environment/climate-change-spring-migratory-birds.html,https://www.nytimes.com/2022/06/18/opinion/environment/climate-change-spring-migratory-birds.html,Depending on the arrival of migratory birds for spring to begin means accepting the changing world the birds fly through. 
"Happy Father’s Day to Roy Ayers, My Brilliant, Absent Dad","Sat, 18 Jun 2022 15:00:10 +0000",https://www.nytimes.com/2022/06/18/opinion/roy-ayers-fathers-day.html,https://www.nytimes.com/2022/06/18/opinion/roy-ayers-fathers-day.html,"Most of us with absent fathers think, “What about me?” We rarely stop to ask, “What about him?” "
Trump’s Shadow Looms Over Fading Iran Nuclear Talks,"Sat, 18 Jun 2022 13:15:59 +0000",https://www.nytimes.com/2022/06/18/us/politics/iran-nuclear-deal-trump.html,https://www.nytimes.com/2022/06/18/us/politics/iran-nuclear-deal-trump.html,"With no compromise in sight and Iran making steady progress toward nuclear capability, the Biden administration could soon face a stark choice."
"Russia’s Blockade of Ukraine Is ‘War Crime,’ Top E.U. Official Says","Tue, 21 Jun 2022 03:28:22 +0000",https://www.nytimes.com/2022/06/20/world/europe/russia-ukraine-blockade-war-crime.html,https://www.nytimes.com/2022/06/20/world/europe/russia-ukraine-blockade-war-crime.html,"The remarks by the official, Josep Borrell Fontelles, were among the strongest language from a Western leader in describing the Kremlin’s tactics to subjugate Ukraine."
"Russia threatens to retaliate against Lithuania, a NATO member, over restrictions on shipments to Kaliningrad.","Mon, 20 Jun 2022 23:01:05 +0000",https://www.nytimes.com/live/2022/06/20/world/russia-ukraine-war-news/moscow-threatens-retaliation-over-lithuanias-ban-of-certain-shipments-across-its-borders,https://www.nytimes.com/live/2022/06/20/world/russia-ukraine-war-news/moscow-threatens-retaliation-over-lithuanias-ban-of-certain-shipments-across-its-borders,
Representatives from Finland and Sweden meet with Turkish officials to discuss NATO membership.,"Mon, 20 Jun 2022 17:44:46 +0000",https://www.nytimes.com/live/2022/06/20/world/russia-ukraine-war-news/the-leaders-of-finland-and-sweden-will-meet-with-turkish-officials-to-discuss-nato-membership,https://www.nytimes.com/live/2022/06/20/world/russia-ukraine-war-news/the-leaders-of-finland-and-sweden-will-meet-with-turkish-officials-to-discuss-nato-membership,
"Pence Navigates a Possible White House Run, and a Fraught Political Moment","Tue, 21 Jun 2022 01:18:11 +0000",https://www.nytimes.com/2022/06/20/us/politics/pence-trump-jan6-hearings.html,https://www.nytimes.com/2022/06/20/us/politics/pence-trump-jan6-hearings.html,"In a speech on Monday, former Vice President Mike Pence sounded like a future presidential candidate, but not like someone interested in discussing the specifics of Jan. 6."
Jan. 6 Hearing Will Highlight Trump’s Pressure Campaign on State Officials,"Tue, 21 Jun 2022 01:34:00 +0000",https://www.nytimes.com/2022/06/20/us/politics/jan-6-committee-hearing-trump.html,https://www.nytimes.com/2022/06/20/us/politics/jan-6-committee-hearing-trump.html,The House committee investigating the Capitol attack will also underscore the vitriol and suffering that election workers endured because of President Donald J. Trump’s lies.
"In Ad, Shotgun-Toting Greitens Asks Voters to Go ‘RINO Hunting’","Mon, 20 Jun 2022 18:15:50 +0000",https://www.nytimes.com/2022/06/20/us/politics/eric-greitens-rino-ad.html,https://www.nytimes.com/2022/06/20/us/politics/eric-greitens-rino-ad.html,A right-wing Senate candidate accompanies a squad of heavily armed men as they storm a home looking for ‘Republicans in name only.’
"Despite Another Covid Surge, Deaths Stay Near Lows","Tue, 21 Jun 2022 02:16:39 +0000",https://www.nytimes.com/2022/06/20/health/covid-deaths-plateau.html,https://www.nytimes.com/2022/06/20/health/covid-deaths-plateau.html,"Most Americans now carry some immune protection, experts said, whether from vaccines, infection or both."
What to Know About the Covid Vaccine for Little Kids,"Sat, 18 Jun 2022 20:08:40 +0000",https://www.nytimes.com/2022/06/17/well/children-under-five-covid-vaccine.html,https://www.nytimes.com/2022/06/17/well/children-under-five-covid-vaccine.html,Here are answers to five common questions.
"Israel’s Government Collapses, Setting Up 5th Election in 3 Years","Mon, 20 Jun 2022 20:06:07 +0000",https://www.nytimes.com/2022/06/20/world/middleeast/israel-election-government-collapse.html,https://www.nytimes.com/2022/06/20/world/middleeast/israel-election-government-collapse.html,"The governing coalition decided to dissolve Parliament, plunging the country back into paralysis and throwing a political lifeline to Benjamin Netanyahu."
"Israel Confirms Regional Military Project, Showing Its Growing Role","Mon, 20 Jun 2022 17:54:02 +0000",https://www.nytimes.com/2022/06/20/world/middleeast/israel-arab-military-alliance.html,https://www.nytimes.com/2022/06/20/world/middleeast/israel-arab-military-alliance.html,"The Israeli defense minister, Benny Gantz, said Israel was working with other countries in the Middle East to combat Iranian military threats."
"In Uvalde, the Healing Power of a Perfect Pitch","Tue, 21 Jun 2022 02:07:17 +0000",https://www.nytimes.com/2022/06/20/us/uvalde-shooting-little-league.html,https://www.nytimes.com/2022/06/20/us/uvalde-shooting-little-league.html,"Uvalde, Texas, was set to cancel its Little League All-Star Championship after a school shooting left 21 people dead. Then, the decision was made: The games would go on."
"When Customers Say Their Money Was Stolen on Zelle, Banks Often Refuse to Pay","Tue, 21 Jun 2022 01:12:08 +0000",https://www.nytimes.com/2022/06/20/business/zelle-money-stolen-banks.html,https://www.nytimes.com/2022/06/20/business/zelle-money-stolen-banks.html,"Federal law requires banks to reimburse customers for unauthorized electronic transfers, but they often refuse, stranding victims."
Google Says It’s Time for Longtime Small-Business Users to Pay Up,"Mon, 20 Jun 2022 19:47:23 +0000",https://www.nytimes.com/2022/06/20/technology/google-gsuite-small-business-fee.html,https://www.nytimes.com/2022/06/20/technology/google-gsuite-small-business-fee.html,Google is charging some small businesses for email and other apps after more than a decade of free use. Business owners say Google is being callous.
China’s Once-Sizzling Property Market Has Started to Cool,"Mon, 20 Jun 2022 07:00:14 +0000",https://www.nytimes.com/2022/06/20/business/china-housing-real-estate-economy.html,https://www.nytimes.com/2022/06/20/business/china-housing-real-estate-economy.html,"New home prices in China have fallen, and would-be buyers are thinking twice. That’s bad news for the overall economy."
"Overlooked No More: William B. Gould, Escaped Slave and Civil War Diarist","Mon, 20 Jun 2022 14:59:55 +0000",https://www.nytimes.com/2022/06/17/obituaries/william-b-gould-overlooked.html,https://www.nytimes.com/2022/06/17/obituaries/william-b-gould-overlooked.html,"He served nearly three years in the U.S. Navy and documented almost all of it, leaving an invaluable record of Black life during the war."
Prosecute Trump? Put Yourself in Merrick Garland’s Shoes,"Mon, 20 Jun 2022 09:00:20 +0000",https://www.nytimes.com/2022/06/20/opinion/trump-merrick-garland-january-6-committee.html,https://www.nytimes.com/2022/06/20/opinion/trump-merrick-garland-january-6-committee.html,"The attorney general will have to make three decisions, each more difficult than the previous, and none of which has an obvious answer."
Let’s Pass the Recovering America’s Wildlife Act,"Mon, 20 Jun 2022 18:40:09 +0000",https://www.nytimes.com/2022/06/20/opinion/recovering-americas-wildlife-act.html,https://www.nytimes.com/2022/06/20/opinion/recovering-americas-wildlife-act.html,An “unthinkable level of bipartisan support” may just lead to a win for species in peril. 
Mike Pence Was of Two Minds,"Mon, 20 Jun 2022 21:42:54 +0000",https://www.nytimes.com/2022/06/20/opinion/pence-biden-trump.html,https://www.nytimes.com/2022/06/20/opinion/pence-biden-trump.html,The man who stood up to Trump is the man who didn’t stand up to Trump. 
Did You Start Therapy Recently?,"Mon, 20 Jun 2022 15:00:06 +0000",https://www.nytimes.com/2022/06/20/opinion/covid-therapy.html,https://www.nytimes.com/2022/06/20/opinion/covid-therapy.html,Times Opinion would like to hear from you.
How Animals See Themselves,"Mon, 20 Jun 2022 20:36:18 +0000",https://www.nytimes.com/2022/06/20/opinion/how-animals-see-themselves.html,https://www.nytimes.com/2022/06/20/opinion/how-animals-see-themselves.html,The most familiar of settings can feel newly unfamiliar through the senses of other creatures. 
Feminism Made a Faustian Bargain With Celebrity Culture. Now It’s Paying the Price.,"Mon, 20 Jun 2022 14:05:07 +0000",https://www.nytimes.com/2022/06/20/opinion/roe-heard-feminism-backlash.html,https://www.nytimes.com/2022/06/20/opinion/roe-heard-feminism-backlash.html,How did modern feminism lose Roe v. Wade? An answer lies in Depp v. Heard.
How the Abortion and Gun Debates Look From Alabama,"Mon, 20 Jun 2022 09:00:09 +0000",https://www.nytimes.com/2022/06/20/opinion/alabama-abortion-guns-politics.html,https://www.nytimes.com/2022/06/20/opinion/alabama-abortion-guns-politics.html,Republicans and Democrats both seem to forget they represent people like me too. 
Are We Sure America Is Not at War in Ukraine?,"Mon, 20 Jun 2022 09:13:08 +0000",https://www.nytimes.com/2022/06/20/opinion/international-world/ukraine-war-america.html,https://www.nytimes.com/2022/06/20/opinion/international-world/ukraine-war-america.html,"If we have so far avoided calling it war, maybe that’s only because we’ve become so uncertain of the meaning of the word."
"Nutcrackers, Sadism and Accounting","Sun, 19 Jun 2022 11:50:03 +0000",https://www.nytimes.com/2022/06/19/books/molly-young-book-recommendations.html,https://www.nytimes.com/2022/06/19/books/molly-young-book-recommendations.html,Our critic recommends old and new books.
Tell Us the Story of Your Family Heirloom,"Fri, 17 Jun 2022 23:34:15 +0000",https://www.nytimes.com/2022/06/16/arts/family-heirloom-stories.html,https://www.nytimes.com/2022/06/16/arts/family-heirloom-stories.html,"Add your voice to a new project examining items that tell stories of history, culture and race in America."
