title,pubDate,guid,link,description
Writing a book in a day to get more kids reading,"Mon, 13 Jun 2022 23:30:49 GMT",https://www.bbc.co.uk/news/stories-61788420,https://www.bbc.co.uk/news/stories-61788420?at_medium=RSS&at_campaign=KARANGA,South African charity Book Dash is creating children's books in super-fast time.
Yellowstone National Park: Building swept away amid record flooding and park closure,"Tue, 14 Jun 2022 09:31:42 GMT",https://www.bbc.co.uk/news/world-us-canada-61797259,https://www.bbc.co.uk/news/world-us-canada-61797259?at_medium=RSS&at_campaign=KARANGA,Officials made the rare decision to close the national park to visitors while they assess damage to roads.
Could flat tyres soon be a thing of the past?,"Mon, 13 Jun 2022 23:18:58 GMT",https://www.bbc.co.uk/news/business-61644033,https://www.bbc.co.uk/news/business-61644033?at_medium=RSS&at_campaign=KARANGA,Airless tyres that do not puncture are getting close to market but some remain sceptical about them.
Sheffield: 'I Love You Will U Marry Me' graffiti reinstated,"Tue, 14 Jun 2022 06:52:05 GMT",https://www.bbc.co.uk/news/uk-england-south-yorkshire-61784910,https://www.bbc.co.uk/news/uk-england-south-yorkshire-61784910?at_medium=RSS&at_campaign=KARANGA,The famous proposal has been repainted at Sheffield's Park Hill flats after being removed in 2021.
Watch: Hong Kong's iconic floating restaurant towed away,"Tue, 14 Jun 2022 12:38:45 GMT",https://www.bbc.co.uk/news/world-asia-china-61800580,https://www.bbc.co.uk/news/world-asia-china-61800580?at_medium=RSS&at_campaign=KARANGA,The 76m (250ft) Jumbo Floating Restaurant has appeared in both Cantonese and Hollywood films.
Northern Ireland Protocol: Is Truss right about public opinion?,"Tue, 14 Jun 2022 17:25:52 GMT",https://www.bbc.co.uk/news/61798013,https://www.bbc.co.uk/news/61798013?at_medium=RSS&at_campaign=KARANGA,Is there a majority in favour of changes to Northern Ireland's Brexit deal?
Ryanair Afrikaans test: Why South Africa loves and loathes the language,"Tue, 14 Jun 2022 17:53:07 GMT",https://www.bbc.co.uk/news/world-africa-61787582,https://www.bbc.co.uk/news/world-africa-61787582?at_medium=RSS&at_campaign=KARANGA,Ryanair stirred emotions over South African passport holders pass a test in the language.
Bitcoin: Why is the largest cryptocurrency crashing?,"Tue, 14 Jun 2022 13:34:25 GMT",https://www.bbc.co.uk/news/technology-61796155,https://www.bbc.co.uk/news/technology-61796155?at_medium=RSS&at_campaign=KARANGA,"The value of Bitcoin is at an 18-month low, as the cryptocurrency market continues to tumble."
Scottish independence: Will there be a second referendum?,"Tue, 14 Jun 2022 13:36:09 GMT",https://www.bbc.co.uk/news/uk-scotland-scotland-politics-50813510,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-50813510?at_medium=RSS&at_campaign=KARANGA,"Nicola Sturgeon wants to hold a second referendum next year, so is another vote now inevitable?"
England 0-4 Hungary: Nations League experiment fails as Three Lions falter,"Tue, 14 Jun 2022 23:09:49 GMT",https://www.bbc.co.uk/sport/football/61806441,https://www.bbc.co.uk/sport/football/61806441?at_medium=RSS&at_campaign=KARANGA,England end the night in the history books for the wrong reasons as Gareth Southgate's Nations League experiment fails against Hungary.
"Maharashtra: 'We spend hours at sea, but there's no fish'","Tue, 14 Jun 2022 23:18:26 GMT",https://www.bbc.co.uk/news/world-asia-india-61781270,https://www.bbc.co.uk/news/world-asia-india-61781270?at_medium=RSS&at_campaign=KARANGA,Fishing communities living along India's western coast say their once abundant catch is declining fast.
Falklands War: 'I thought I was the only one like this',"Tue, 14 Jun 2022 00:14:18 GMT",https://www.bbc.co.uk/news/uk-61787269,https://www.bbc.co.uk/news/uk-61787269?at_medium=RSS&at_campaign=KARANGA,The end of the Falklands War saw a gradual change in how we treat post-traumatic stress disorder.
Operose Health: What I saw working undercover at a GP surgery,"Mon, 13 Jun 2022 14:03:40 GMT",https://www.bbc.co.uk/news/health-61759641,https://www.bbc.co.uk/news/health-61759641?at_medium=RSS&at_campaign=KARANGA,BBC Panorama reporter Jacqui Wakefield worked as a receptionist at an Operose Health GP practice.
Falkland Islands soldier: 'I joined the Army to give something back',"Tue, 14 Jun 2022 06:11:25 GMT",https://www.bbc.co.uk/news/uk-england-essex-61789867,https://www.bbc.co.uk/news/uk-england-essex-61789867?at_medium=RSS&at_campaign=KARANGA,Soldier Sara Halford was born in the Falkland Islands three months before the 1982 war began.
Vaping - is it a risk-free option?,"Mon, 13 Jun 2022 22:53:15 GMT",https://www.bbc.co.uk/news/health-61759776,https://www.bbc.co.uk/news/health-61759776?at_medium=RSS&at_campaign=KARANGA,"Colourful gadgets and fruity flavours are popular, but what's really known about their health effects?"
England v New Zealand: Ben Stokes says Trent Bridge win is his greatest,"Tue, 14 Jun 2022 22:31:25 GMT",https://www.bbc.co.uk/sport/cricket/61801525,https://www.bbc.co.uk/sport/cricket/61801525?at_medium=RSS&at_campaign=KARANGA,Captain Ben Stokes says England's remarkable victory over New Zealand is his greatest win as an England player.
England v New Zealand: Jonny Bairstow's century seals series win,"Tue, 14 Jun 2022 18:07:57 GMT",https://www.bbc.co.uk/sport/av/cricket/61801797,https://www.bbc.co.uk/sport/av/cricket/61801797?at_medium=RSS&at_campaign=KARANGA,Jonny Bairstow's astonishing century leads England to a stunning win in the second Test against New Zealand to seal a series victory.
Darwin Nunez: Liverpool complete signing of Uruguay striker from Benfica for initial £64m,"Tue, 14 Jun 2022 19:26:02 GMT",https://www.bbc.co.uk/sport/football/61742358,https://www.bbc.co.uk/sport/football/61742358?at_medium=RSS&at_campaign=KARANGA,Liverpool complete the signing of Uruguay striker Darwin Nunez from Portuguese side Benfica on a six-year-deal for an initial £64m.
Scotland with 'work to do' in Nations League despite Armenia boost,"Tue, 14 Jun 2022 20:09:27 GMT",https://www.bbc.co.uk/sport/football/61800345,https://www.bbc.co.uk/sport/football/61800345?at_medium=RSS&at_campaign=KARANGA,Scotland head coach Steve Clarke admitted two wins against Armenia does not make up for bruising defeats by Ukraine and Ireland. So how are his side placed after this international window?
